id_producto,producto,proveedor,categoria,lote,cantidad,descripcion
KJ3H91,Martillo,MartTools Inc,Herramientas de Mano,GH7,25,Martillo de garra de acero
02FT7H,Taladro,TechDrill Corp,Herramientas Eléctricas,KQF3M,15,Taladro inalámbrico de 18V
Y9W4PQ,Destornillador,GardenGizmo Co,Herramientas de Mano,XR2N,30,Destornillador Phillips resistente
P1S7L8,Podadora,TechDrill Corp,Equipo de Jardinería,BF4K,10,Podadora de césped eléctrica de 20"
R5M2XZ,Licuadora,HomeTech Solutions,Electrodomésticos,YT8P,20,Licuadora de alta velocidad
A3E7GR,Escritorio,OfficeSupplies Ltd,Suministros de Oficina,LP9Q,5,Escritorio de roble resistente
T8U6VB,Martillo,GardenGizmo Co,Herramientas de Mano,QW6J,12,Martillo de garra de fibra de vidrio
V2N4KW,Podadora,GardenGizmo Co,Equipo de Jardinería,SD5R,8,Podadora de césped manual
G7H5FQ,Escritorio,OfficeSupplies Ltd,Suministros de Oficina,HT3K,7,Escritorio de madera maciza
X4D8YP,Destornillador,TechDrill Corp,Herramientas de Mano,LM9V,42,Destornillador de precisión magnético
K9L3AX,Taladro,HomeTech Solutions,Herramientas Eléctricas,PW2C,18,Taladro de percusión inalámbrico de 24V
B1P9ZO,Licuadora,HomeTech Solutions,Electrodomésticos,ZQ7E,15,Licuadora de batidos y smoothies
N6E2QR,Destornillador,GardenGizmo Co,Herramientas de Mano,OP8T,28,Destornillador de trinquete ajustable
D2R7UL,Martillo,TechDrill Corp,Herramientas de Mano,YR3W,22,Martillo de goma antideslizante
W8I4YO,Taladro,HomeTech Solutions,Herramientas Eléctricas,KL4P,11,Taladro de impacto inalámbrico de 24V
U3P7DK,Podadora,GardenGizmo Co,Equipo de Jardinería,FN5T,9,Podadora de césped de gasolina de 22"
J4K9CM,Escritorio,OfficeSupplies Ltd,Suministros de Oficina,RP6O,6,Escritorio de esquina con estantes
H1O6TF,Destornillador,TechDrill Corp,Herramientas de Mano,UI7Y,35,Destornillador de ángulo recto
M7T2VE,Martillo,GardenGizmo Co,Herramientas de Mano,FB8N,17,Martillo de garra de acero inoxidable
Z9C2LP,Licuadora,HomeTech Solutions,Electrodomésticos,ER5S,14,Licuadora de alto rendimiento
X3O9QP,Escritorio,OfficeSupplies Ltd,Suministros de Oficina,JK5D,8,Escritorio plegable portátil
P8Q2FN,Taladro,TechDrill Corp,Herramientas Eléctricas,OP4L,21,Taladro percutor de 12V
Y4D9KP,Destornillador,GardenGizmo Co,Herramientas de Mano,TW7M,29,Destornillador Phillips magnético
A7S3VO,Podadora,TechDrill Corp,Equipo de Jardinería,CG6R,12,Podadora de césped eléctrica de 16"
E9J5LR,Martillo,HomeTech Solutions,Herramientas de Mano,SN2T,19,Martillo de garra de fibra de carbono
W2K7GD,Taladro,HomeTech Solutions,Herramientas Eléctricas,QP8E,13,Taladro inalámbrico de 20V
V5N9IZ,Escritorio,OfficeSupplies Ltd,Suministros de Oficina,WL6U,4,Escritorio ajustable en altura
B2P8QJ,Destornillador,GardenGizmo Co,Herramientas de Mano,KQ9H,33,Destornillador de punta plana magnético
C1M6AZ,Licuadora,HomeTech Solutions,Electrodomésticos,PL5I,16,Licuadora personal compacta
Z8O3WF,Taladro,GardenGizmo Co,Herramientas Eléctricas,HD4X,23,Taladro de percusión inalámbrico de 18V
